job_title,company,url
"VP, Technology Risk Manager, Cloud Engineering & Services, Technology & Operations (WD34144)",Dbs Bank Ltd.,https://www.monster.com.sg/seeker/job-details?id=5602355&searchId=b59972d9-6969-4f2f-b503-16a051718644
Principal Solutions Consultant - Enterprise Information Management Solutions,Flintex Consulting Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5600194&searchId=b59972d9-6969-4f2f-b503-16a051718644
"Staff Backend Engineer, APAC",Delivery Hero Apac Pte. Limited,https://www.monster.com.sg/seeker/job-details?id=5599826&searchId=b59972d9-6969-4f2f-b503-16a051718644
Senior / Support Engineer - Online Charging / matrix,Flintex Consulting Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5600195&searchId=b59972d9-6969-4f2f-b503-16a051718644
Azure Architect,Viseo Asia Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5574389&searchId=b59972d9-6969-4f2f-b503-16a051718644
Senior Cloud Native Architect,Vmware,https://www.monster.com.sg/seeker/job-details?id=3923365&searchId=b59972d9-6969-4f2f-b503-16a051718644
Senior Cloud Native Architect,Vmware,https://www.monster.com.sg/seeker/job-details?id=3923339&searchId=b59972d9-6969-4f2f-b503-16a051718644
Cyber Security Specialist,Ridik Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5602159&searchId=b59972d9-6969-4f2f-b503-16a051718644
IT Infrastructure Project Manager - Cloud,Encora Technologies Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5574320&searchId=b59972d9-6969-4f2f-b503-16a051718644
"Account Executive, Marketing Cloud - Philippines",Salesforce.com Singapore Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5574944&searchId=b59972d9-6969-4f2f-b503-16a051718644
Cloud Platform Incident Manager - Associate,"Jpmorgan Chase Bank, N.a.",https://www.monster.com.sg/seeker/job-details?id=5575723&searchId=b59972d9-6969-4f2f-b503-16a051718644
Bid Support Engineer,Aluminium Offshore Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5602133&searchId=b59972d9-6969-4f2f-b503-16a051718644
"Senior Project Manager, Loan Platform",Standard Chartered Bank,https://www.monster.com.sg/seeker/job-details?id=4548544&searchId=b59972d9-6969-4f2f-b503-16a051718644
Network Engineer – Cloud and On-Premise Network Services,Zenith Infotech (s) Pte Ltd.,https://www.monster.com.sg/seeker/job-details?id=5588895&searchId=b59972d9-6969-4f2f-b503-16a051718644
Senior Network Engineer,Avnet Asia Pte Ltd,https://www.monster.com.sg/seeker/job-details?id=5589491&searchId=b59972d9-6969-4f2f-b503-16a051718644
0384 - Technical Sales Engineer / Product [ understanding our complete range product],The Supreme Hr Advisory Pte. Ltd.,https://www.monster.com.sg/seeker/job-details?id=5602398&searchId=b59972d9-6969-4f2f-b503-16a051718644
