Source,Target,Type,Weight
11803,3,undirected,1
11803,454,undirected,1
11803,455,undirected,1
11803,110,undirected,1
11803,33,undirected,1
11803,456,undirected,1
11803,146,undirected,1
11803,457,undirected,1
11803,458,undirected,1
11803,459,undirected,1
11803,460,undirected,1
11803,461,undirected,1
11803,427,undirected,1
11803,282,undirected,1
11803,462,undirected,1
11803,463,undirected,1
11803,464,undirected,1
11803,465,undirected,1
11803,466,undirected,1
11803,467,undirected,1
11803,468,undirected,1
11803,391,undirected,1
11803,25,undirected,1
11803,25,undirected,1
11803,126,undirected,1
11803,26,undirected,1
11803,260,undirected,1
11803,262,undirected,1
11803,131,undirected,1
11803,469,undirected,1
11803,293,undirected,1
11803,470,undirected,1
11803,471,undirected,1
11803,472,undirected,1
11803,268,undirected,1
11803,198,undirected,1
11803,473,undirected,1
11803,474,undirected,1
11803,200,undirected,1
11804,100,undirected,1
11804,446,undirected,1
11804,447,undirected,1
11804,101,undirected,1
11804,448,undirected,1
11804,449,undirected,1
11804,102,undirected,1
11804,450,undirected,1
11804,451,undirected,1
11804,452,undirected,1
11804,453,undirected,1
11804,105,undirected,1
11804,3,undirected,1
11804,454,undirected,1
11804,455,undirected,1
11804,110,undirected,1
11804,33,undirected,1
11804,456,undirected,1
11804,146,undirected,1
11804,457,undirected,1
11804,458,undirected,1
11804,459,undirected,1
11804,460,undirected,1
11804,461,undirected,1
11804,427,undirected,1
11804,282,undirected,1
11804,462,undirected,1
11804,463,undirected,1
11804,464,undirected,1
11804,465,undirected,1
11804,466,undirected,1
11804,467,undirected,1
11804,468,undirected,1
11804,391,undirected,1
11804,25,undirected,1
11804,25,undirected,1
11804,126,undirected,1
11804,26,undirected,1
11804,260,undirected,1
11804,262,undirected,1
11804,131,undirected,1
11804,469,undirected,1
11804,293,undirected,1
11804,470,undirected,1
11804,471,undirected,1
11804,472,undirected,1
11804,268,undirected,1
11804,198,undirected,1
11804,473,undirected,1
11804,474,undirected,1
11804,200,undirected,1
11805,475,undirected,1
11805,300,undirected,1
11805,476,undirected,1
11805,446,undirected,1
11805,302,undirected,1
11805,477,undirected,1
11805,478,undirected,1
11805,479,undirected,1
11805,480,undirected,1
11805,481,undirected,1
11805,482,undirected,1
11805,483,undirected,1
11805,421,undirected,1
11805,484,undirected,1
11805,422,undirected,1
11805,359,undirected,1
11805,3,undirected,1
11805,485,undirected,1
11805,486,undirected,1
11805,487,undirected,1
