Id,Skills,
987,FTP,987
988,CrowdStrike Falcon,988
989,Defender,989
990,Cloud App,990
991,maintain,991
992,Authentication,992
993,Varonis,993
994,Microsoft Endpoint,994
995,Microsoft Defender,995
996,fine-,996
997,AIP,997
998,Threat Intelligence,998
999,Device,999
1000,Security Governance,1000
1001,Office,1001
1002,Security Strategy,1002
1003,CASB,1003
1004,Ui Design,1004
1005,Unified Modeling,1005
1006,Power Platform,1006
1007,Application,1007
1008,minimal supervision,1008
1009,User Experience,1009
1010,JSP,1010
1011,Global Business,1011
1012,Workflow,1012
1013,Visual Design,1013
1014,Power Apps,1014
1015,VBA,1015
1016,UML,1016
1017,Jabil,1017
1018,RPA,1018
1019,Good Communication Skills ,1019
1020,Visual Basic,1020
1021,Spring,1021
1022,User Interface,1022
1023,DevSecOps,1023
1024,Threat Intelligence and Detection,1024
1025,team-,1025
1026,ConfluenceExperience,1026
1027,Information Security Management,1027
1028,Agile Software,1028
1029,Threat Analysis and Defence,1029
1030,curious,1030
1031,AzureExperience,1031
1032,cyber defense,1032
1033,Artius Global,1033
1034,Computer Security ,1034
1035,IT-Security,1035
1036,Infra,1036
1037,flavors,1037
1038,INFOR,1038
1039,Customer,1039
1040,Key Parameter,1040
1041,Re-,1041
1042,Consulting ,1042
1043,11,1043
1044,Infra Solutioning,1044
1045,Withdrawal,1045
1046,Setups,1046
1047,DevOps Continous,1047
1048,Implementation8,1048
1049,Solutioning,1049
1050,Wipro,1050
1051,view,1051
1052,technology architecture,1052
1053,Strategic Consulting,1053
1054,OrganizationWipro,1054
1055,Qualifications15,1055
1056,Cloud Consultants,1056
1057,M,1057
1058,D&C,1058
1059,opportunitiesEstablish,1059
1060,thought leadership,1060
1061,Cloud Strategy,1061
1062,Master,1062
1063,Cloud Transformation,1063
1064,C,1064
1065,Enterprise Architects,1065
1066,Interpersonal Skills,1066
1067,ProtoBuf,1067
1068,Communication Skills ,1068
1069,Data Ops,1069
1070,Operations Research,1070
1071,Budgets,1071
1072,Data EngineeringThe,1072
1073,AirFlow,1073
1074,BigData,1074
1075,MLops,1075
1076,DBT,1076
1077,SPH Media,1077
1078,SPH,1078
1079,CDPs,1079
1080,KubernetesHands,1080
1081,Configuration Management,1081
1082,Java 8,1082
1083,T&I Engineering,1083
1084,No-,1084
1085,Developer,1085
1086,Puppet,1086
1087,TI ,1087
1088,Microsoft SQL,1088
1089,FridaySystem,1089
1090,Microsoft Sql Server,1090
1091,Hyper V,1091
1092,Microsoft Windows,1092
1093,Pmp ,1093
1094,Commvault,1094
1095,PRINCE2,1095
1096,Perform,1096
1097,Working Hours,1097
1098,VB,1098
1099,Azure Backup,1099
1100,System,1100
1101,Windows 10,1101
1102,Azure Production,1102
1103,Veeam,1103
1104,Group Policy,1104
1105,VAPT,1105
1106,Non-,1106
1107,"9am - 6pm, Monday to",1107
1108,It Audit,1108
1109,support;Microsoft Azure,1109
1110,Windows Server,1110
1111,AI Pte LtdLicense,1111
1112,Solution,1112
1113,University Degree,1113
1114,Content Management,1114
1115,Technical Documentation,1115
1116,S10,1116
1117,Fortune Magazine,1117
1118,NTT Group,1118
1119,Business Process ,1119
1120,NTT,1120
1121,Microsoft C#,1121
1122,Microsoft Sharepoint,1122
1123,NET Framework,1123
1124,Sharepoint,1124
1125,NTT DATA,1125
1126,Responsibilities,1126
1127,gender identity,1127
1128,ISO 9001,1128
1129,Azure)10,1129
1130,environment10,1130
1131,SSL Certificates,1131
1132,VA,1132
1133,independently11,1133
1134,Aruba ClearPass,1134
1135,internal &,1135
1136,NMS,1136
1137,Updating of firmware ,1137
1138,IPS,1138
1139,AWS)o Lambda,1139
1140,Content Delivery,1140
1141,TOFFs)5,1141
1142,Client,1142
1143,CloudFlare,1143
1144,player12,1144
1145,fault isolation,1145
1146,Teraform,1146
1147,CloudFront,1147
1148,Mobility Controllero,1148
1149,NIPS,1149
1150,Encryption4,1150
1151,network diagrams,1151
1152,Network Load,1152
1153,bandwidth management,1153
1154,Terraformo Phythono,1154
1155,ISO 27001,1155
1156,network configuration,1156
1157,Load Balancer,1157
1158,demonstration,1158
1159,MSFT,1159
1160,prototyping,1160
1161,Application Support,1161
1162,cross,1162
1163,data integrity,1163
1164,setup,1164
1165,Hybrid,1165
1166,application testing,1166
1167,Design Authority,1167
1168,JavaCrystal Reports,1168
1169,JVS LibrariesExperienced,1169
1170,JVS,1170
1171,Competencies,1171
1172,programming,1172
1173,Trade Capture,1173
1174,business stakeholders,1174
1175,upgrades,1175
1176,patch management,1176
1177,AVS,1177
1178,Change Management,1178
1179,Crystal Reports ,1179
1180,Analysis,1180
1181,Energy,1181
1182,the Shell,1182
1183,Release Management,1183
1184,Scheduling &,1184
1185,East Power,1185
1186,Endur,1186
1187,Commodity Trading,1187
1188,traceability,1188
1189,Products,1189
1190,Shell,1190
1191,task management,1191
1192,Intermediate,1192
1193,Settlements &,1193
1194,trading systems,1194
1195,Customer Experience,1195
1196,Competencies:-,1196
1197,valued:->,1197
1198,Energy Trading,1198
1199,GITHUB)-,1199
1200,Java->,1200
1201,build,1201
1202,change,1202
1203,about $2 billion,1203
1204,test,1204
1205,Sails,1205
1206,us!Singapore Pools,1206
1207,DevOps Engineer,1207
1208,Digital Operation,1208
1209,release,1209
1210,evolve,1210
1211,sports,1211
1212,Micro,1212
1213,Community Development ,1213
1214,Singapore Pools,1214
1215,Tote Board,1215
1216,Strongloop)You,1216
1217,Grunt,1217
1218,Gulp,1218
1219,RExperience,1219
1220,Location,1220
1221,9000RequirementsBachelor,1221
1222,RafflesSalary,1222
1223,BW)Perks,1223
1224,Sap Fi,1224
1225,Cost,1225
1226,Call Centre,1226
1227,PSData,1227
1228,MM,1228
1229,GL,1229
1230,SAS,1230
1231,Sap Fico,1231
1232,General Ledger,1232
1233,Medical,1233
1234,Testing Process,1234
1235,PM,1235
1236,Accounting,1236
1237,MS OFFICE,1237
1238,SAP Business,1238
1239,CPA,1239
1240,PP,1240
1241,Internal OrdersResponsbilitiesConfiguration,1241
1242,CO,1242
1243,Accounts Payable,1243
1244,Accounts Receivable,1244
1245,Profit Center,1245
1246,Windows Powershell,1246
1247,openshift,1247
1248,FastAPI,1248
1249,Flask,1249
1250,FastAPI ,1250
1251,AKS,1251
1252,EKS,1252
1253,Django,1253
1254,Web Programming,1254
1255,Software Documentation,1255
1256,Laravel FrameworkExperience,1256
1257,Strong Financial,1257
1258,GitlabExperience,1258
1259,ResponsibilitiesWrite,1259
1260,IDS,1260
1261,Wireless,1261
1262,Strategy &,1262
1263,WANs,1263
1264,Acquisition &,1264
1265,EDR,1265
1266,Security Audits,1266
1267,HaveCCNA,1267
1268,Checkpoint ,1268
1269,Go,1269
1270,Apache Kafka,1270
1271,Rabbitmq,1271
1272,Safe,1272
1273,PMP,1273
1274,Agility,1274
1275,Excellent Communication Skills,1275
1276,IFRS 9,1276
1277,lifelong learning,1277
1278,Subject Matter,1278
1279,Basel IV,1279
1280,Kotlin,1280
1281,Continuous Improvement,1281
1282,Cloud native,1282
1283,Paris,1283
1284,LOANSCAPE,1284
1285,institutional investors,1285
1286,Lean Start,1286
1287,Vuejs,1287
1288,CCSP,1288
1289,Cisa,1289
1290,CISM,1290
1291,Global Information,1291
1292,Crown Jewels,1292
1293,Audit Engagements,1293
1294,High Availability,1294
1295,StandardsWork,1295
1296,Network Patterns,1296
1297,MOM Templates,1297
1298,Risk Approvals,1298
1299,mitigation,1299
1300,SANS,1300
1301,Risk Extensions,1301
1302,Network Connectivity,1302
1303,Domain(s)s,1303
1304,Defence,1304
1305,Audits,1305
1306,Service Design,1306
1307,Domain Risk,1307
1308,Audit,1308
1309,Multi,1309
1310,IaaS,1310
1311,control management,1311
1312,StandardsResponsible,1312
1313,search customization,1313
1314,yearsDynamic,1314
1315,Web Content Management,1315
1316,PostgreSQL RDBMS,1316
1317,Content Management ,1317
1318,Technical Leads,1318
1319,ScalaThe,1319
1320,Data Engineer,1320
1321,Projects,1321
1322,Customers,1322
1323,2016,1323
1324,ScalaExperience,1324
1325,Fraud ,1325
1326,Start,1326
1327,Data Engineers,1327
